name,price,link,link_full,angle,image_url,posted
"OnePlus Bullets Wireless Z3 Neckband - 12.4mm Drivers, BT 5.4, 27hr Playback",1999,https://link.amazon/B09f5ELwo,https://www.amazon.in/dp/B0FBRGKXHG?tag=bansallab01-21,10-min charge for 27 hours playback - most people don't know this exists,https://m.media-amazon.com/images/I/51vT4GzBObL._SL1500_.jpg,yes
Boat Energyshroom PB300 Pro 10000mAh 22.5W Pocket Size Power Bank,1370,https://amzn.to/4aLqXSe,https://www.amazon.in/dp/B0DFGZQPJK?tag=bansallab01-21,Pocket-size but charges 2 devices at once - genuinely fits in a jeans pocket,https://m.media-amazon.com/images/I/61T-BTvPIpL._SL1500_.jpg,yes
Amazon Brand - Solimo 15-in-1 Stainless Steel Vegetable and Fruit Chopper,579,https://amzn.to/3SoCil1,https://www.amazon.in/dp/B0DVZ2F2SY?tag=bansallab01-21,Cuts onion-chopping time from 10 minutes to under 1 - no more crying over onions,https://m.media-amazon.com/images/I/61WnBGnDByL._SL1500_.jpg,yes
Wooum Crossbody Sling Bag for Men and Women - Water Resistant,299,https://amzn.to/4ez8oBN,https://www.amazon.in/dp/B09MWGV9PR?tag=bansallab01-21,Finally a sling bag that doesn't look cheap at this price,https://m.media-amazon.com/images/I/71LG48g30BL._SY675_.jpg,yes
Laneige Lip Sleeping Mask - Overnight Lip Treatment with Vitamin C and Shea Butter,540,https://amzn.to/44r55Ic,https://www.amazon.in/dp/B0BPC8KG73?tag=bansallab01-21,Put this on before bed once and you'll see why everyone's obsessed,https://m.media-amazon.com/images/I/41R7LCjddAL._SL1100_.jpg,yes
SOULWIT Cable Holder Clips - 3 Pack Self Adhesive Cable Organiser,450,https://amzn.to/4fWqsZ5,https://www.amazon.in/dp/B0GKF4TN2Q?tag=bansallab01-21,Stuck these under my desk once and my cable mess just disappeared,https://m.media-amazon.com/images/I/71lVIE7+xCL._SL1500_.jpg,yes
AITODOS Portable Aluminum Alloy Laptop Stand - 6 Level Adjustable Foldable,217,https://amzn.to/4w8f8xU,https://www.amazon.in/dp/B0BJKGR6B4?tag=bansallab01-21,My laptop stopped overheating the day I started using this,https://m.media-amazon.com/images/I/81SwMhBPrRL._SL1500_.jpg,yes
ZEVON Garlic Crusher - Stainless Steel Garlic Press and Mincer,299,https://amzn.to/4xIqwSJ,https://www.amazon.in/dp/B0CXY3R242?tag=bansallab01-21,No more smelly fingers from peeling and crushing garlic by hand,https://m.media-amazon.com/images/I/81f7h7S+IkL._SL1500_.jpg,yes
YouBella Afghani Tribal Beads Jewellery Set with Earrings,238,https://amzn.to/4oMdGyt,https://www.amazon.in/dp/B07L9DMG5K?tag=bansallab01-21,Looks way more expensive than it actually costs,https://m.media-amazon.com/images/I/71mjFCuBSDL._SY575_.jpg,yes
Philips Hair Straightener Brush BHH880 - SilkProtect Keratin Tech,2686,https://amzn.to/4g4sczA,https://www.amazon.in/dp/B07Q2ZM5LS?tag=bansallab01-21,Straightens hair in 5 minutes without the usual frizz and damage,https://m.media-amazon.com/images/I/71GDUPV6CdL._SL1500_.jpg,no
Boldfit Yoga Mat 6mm EVA Anti Slip for Home and Gym,499,https://amzn.to/4b9oIZ4,https://www.amazon.in/dp/B0B75B9M2D?tag=bansallab01-21,Thick enough that my knees stopped hurting during floor exercises,https://m.media-amazon.com/images/I/81feGML0NAL._SL1500_.jpg,no
FATMUG Large Toiletry Organizer Dopp Kit Washbag for Men and Women,399,https://amzn.to/4eKH9UV,https://www.amazon.in/dp/B07W7KZCCD?tag=bansallab01-21,Finally fits everything without my bag turning into a mess at the airport,https://m.media-amazon.com/images/I/818HLi1CARL._SL1500_.jpg,no
MAZ-TEK Motion Sensor LED Night Light - USB Rechargeable Pack of 2,299,https://amzn.to/4f6P4NL,https://www.amazon.in/dp/B0H1QSNPKM?tag=bansallab01-21,Stuck one near the stairs and stopped fumbling for the switch at night,https://m.media-amazon.com/images/I/51Vy89MXQrL._SL1376_.jpg,no
Fulminare LED Desk Lamp - Dimmable with USB Charging Port,399,https://amzn.to/4xTRRkR,https://www.amazon.in/dp/B0D29CLX4Z?tag=bansallab01-21,Charges my phone while I study - one less cable on the desk,https://m.media-amazon.com/images/I/61b12Blb-JL._SL1254_.jpg,no
Milton Kool Steelight 400 Kids Insulated Water Bottle with Straw,307,https://amzn.to/4weQdZr,https://www.amazon.in/dp/B07PBY6ZS2?tag=bansallab01-21,Zero leaks in the school bag for an entire term so far,https://m.media-amazon.com/images/I/717ORFuwTGL._SL1500_.jpg,no
HANK Deshedding Brush for Dogs and Cats - Stainless Steel Grooming Tool,699,https://amzn.to/4akFh4a,https://www.amazon.in/dp/B07ZS1PF3N?tag=bansallab01-21,Got more loose fur out in one session than weeks of regular brushing,https://m.media-amazon.com/images/I/61HXCWRsTIL._SL1500_.jpg,no
Portronics Clamp M5 Car Phone Holder - Suction Cup Mount,442,https://amzn.to/43ZzyNy,https://www.amazon.in/dp/B0DM243H42?tag=bansallab01-21,"Holds steady even on rough roads, doesn't slide down like the cheaper ones",https://m.media-amazon.com/images/I/61XDD+IKQjL._SL1200_.jpg,no
